label,prob_benign_mean,prob_benign_std,prob_no_tumor_mean
0,0.21882977,0.1511751,0.78117025
0,0.060703326,0.049265753,0.93929666
0,0.10675068,0.04765012,0.89324933
0,0.89216477,0.06848003,0.10783523
0,0.8645555,0.09418884,0.13544452
0,0.05632526,0.01749618,0.94367474
0,0.9421133,0.022785246,0.05788672
0,0.06764696,0.02054602,0.932353
0,0.058069024,0.02380267,0.94193095
0,0.0710565,0.062699996,0.9289435
0,0.057901688,0.016534736,0.9420983
0,0.044748675,0.011387572,0.95525134
0,0.0452332,0.014151101,0.9547668
0,0.048612356,0.01720877,0.95138764
0,0.055449806,0.011422416,0.9445502
0,0.07435708,0.019271784,0.9256429
0,0.08181777,0.018429905,0.91818225
0,0.05587171,0.0125678945,0.9441283
0,0.063878685,0.01344663,0.93612134
0,0.059049886,0.01968228,0.9409501
0,0.05605889,0.013619806,0.9439411
0,0.9324996,0.02528684,0.06750041
0,0.05942359,0.014472912,0.94057643
0,0.056893945,0.010421207,0.94310606
0,0.06294386,0.026216874,0.9370561
0,0.054875836,0.009922989,0.94512415
0,0.05511035,0.012143779,0.94488966
0,0.053934935,0.013458887,0.94606507
0,0.06033146,0.0145358965,0.93966854
0,0.05807468,0.014268639,0.94192535
0,0.4244394,0.2844792,0.57556057
0,0.057563707,0.015210187,0.9424363
0,0.087553255,0.021739502,0.91244674
0,0.32611662,0.1779932,0.6738834
0,0.073038176,0.023740644,0.92696184
0,0.91338223,0.023074508,0.08661777
0,0.7983908,0.08831664,0.2016092
0,0.2960054,0.17517987,0.70399463
0,0.083406806,0.01976787,0.9165932
0,0.088329285,0.024134472,0.9116707
0,0.06583869,0.0102869645,0.9341613
0,0.13570468,0.0527269,0.8642953
0,0.10930131,0.028931689,0.8906987
0,0.0916706,0.019719547,0.90832937
0,0.34500176,0.19702001,0.65499824
0,0.4196371,0.2122207,0.5803629
0,0.18698,0.09319955,0.81302
0,0.1055744,0.032635134,0.89442563
0,0.17685246,0.08315447,0.82314754
0,0.06751458,0.016322896,0.9324854
0,0.05173288,0.01127175,0.9482671
0,0.05036438,0.015933735,0.9496356
0,0.3385283,0.27266058,0.6614717
