label,prob_benign,prob_no_tumor
0,0.10923567,0.89076436
0,0.035204004,0.964796
0,0.06823221,0.9317678
0,0.91215956,0.08784044
0,0.9303378,0.06966221
0,0.053405695,0.9465943
0,0.9427516,0.057248414
0,0.15977146,0.84022856
0,0.05210031,0.9478997
0,0.054960348,0.94503963
0,0.048588097,0.9514119
0,0.046444878,0.9535551
0,0.04296282,0.9570372
0,0.040273093,0.9597269
0,0.052909173,0.9470908
0,0.08107843,0.9189216
0,0.069803774,0.9301962
0,0.05363481,0.9463652
0,0.06520811,0.9347919
0,0.061045088,0.9389549
0,0.05094961,0.94905037
0,0.91430396,0.08569604
0,0.056821663,0.94317836
0,0.05215407,0.94784594
0,0.053410105,0.9465899
0,0.05479294,0.94520706
0,0.05470261,0.94529736
0,0.05426376,0.9457362
0,0.05447011,0.9455299
0,0.057005227,0.9429948
0,0.10949805,0.890502
0,0.05252584,0.9474742
0,0.22173767,0.7782623
0,0.49197975,0.5080203
0,0.08320114,0.91679883
0,0.8130271,0.18697292
0,0.64867425,0.35132575
0,0.16846602,0.83153397
0,0.06737365,0.93262637
0,0.10412498,0.89587504
0,0.06440131,0.9355987
0,0.1296659,0.8703341
0,0.104187034,0.895813
0,0.10766506,0.89233494
0,0.21512774,0.7848723
0,0.34429356,0.6557064
0,0.17056738,0.8294326
0,0.08636499,0.913635
0,0.19165628,0.8083437
0,0.066717416,0.9332826
0,0.052275043,0.94772494
0,0.045978975,0.95402104
0,0.2107059,0.7892941
0,0.05260725,0.94739276
0,0.09275112,0.90724885
0,0.052392334,0.94760764
0,0.053764015,0.946236
0,0.05394537,0.94605464
0,0.026846448,0.97315353
0,0.02598154,0.97401845
0,0.031737335,0.9682627
0,0.93526685,0.06473315
0,0.44067222,0.5593278
0,0.05303206,0.94696796
0,0.048125267,0.95187473
0,0.050618596,0.9493814
0,0.21424255,0.7857574
0,0.045105286,0.9548947
0,0.9451623,0.054837704
0,0.9470295,0.05297053
0,0.9125167,0.08748329
0,0.052296948,0.94770306
0,0.91811216,0.08188784
0,0.95206344,0.04793656
0,0.06323825,0.93676174
0,0.05035299,0.949647
0,0.9451844,0.05481559
0,0.9480158,0.05198419
0,0.9470455,0.052954495
0,0.04853315,0.95146686
0,0.12229675,0.87770325
0,0.05538281,0.9446172
0,0.051543314,0.9484567
0,0.05119855,0.94880146
0,0.67808247,0.32191753
0,0.95474815,0.045251846
0,0.056052007,0.943948
0,0.9494091,0.050590873
0,0.05975222,0.9402478
0,0.9409906,0.059009373
0,0.956319,0.043681026
0,0.04940649,0.95059353
0,0.05342834,0.94657165
0,0.054848604,0.9451514
0,0.039155558,0.96084446
0,0.034099944,0.96590006
0,0.055524636,0.94447535
0,0.05116729,0.9488327
0,0.051246822,0.9487532
0,0.31025037,0.6897496
