bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
1,0.10000000149011612,0.20000000298023224,40,0.1478421688079834,0.4,0.2521578311920166
2,0.20000000298023224,0.30000001192092896,14,0.24324093759059906,0.8571428571428571,0.613901919552258
3,0.30000001192092896,0.4000000059604645,3,0.34114527702331543,1.0,0.6588547229766846
4,0.4000000059604645,0.5,6,0.43859240412712097,0.8333333333333334,0.3947409292062124
5,0.5,0.6000000238418579,16,0.5655310153961182,0.6875,0.12196898460388184
6,0.6000000238418579,0.699999988079071,8,0.6529083847999573,0.625,0.027908384799957275
7,0.699999988079071,0.800000011920929,23,0.7527937889099121,0.6086956521739131,0.14409813673599903
8,0.800000011920929,0.8999999761581421,404,0.8639160990715027,0.7995049504950495,0.06441114857645314
9,0.8999999761581421,1.0,9,0.9081843495368958,0.5555555555555556,0.35262879398134017
