bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
1,0.10000000149011612,0.20000000298023224,38,0.1550218164920807,0.39473684210526316,0.23971502561318248
2,0.20000000298023224,0.30000001192092896,16,0.24043560028076172,0.8125,0.5720643997192383
3,0.30000001192092896,0.4000000059604645,6,0.358040452003479,1.0,0.641959547996521
4,0.4000000059604645,0.5,5,0.4467880129814148,0.8,0.35321198701858525
5,0.5,0.6000000238418579,16,0.5518518686294556,0.625,0.07314813137054443
6,0.6000000238418579,0.699999988079071,11,0.6508046984672546,0.6363636363636364,0.014441062103618285
7,0.699999988079071,0.800000011920929,25,0.7530215382575989,0.6,0.1530215382575989
8,0.800000011920929,0.8999999761581421,401,0.8556812405586243,0.800498753117207,0.055182487441417294
9,0.8999999761581421,1.0,5,0.904334545135498,0.6,0.30433454513549807
