feature,n_malignant,n_benign,n_no_tumor,mean_malignant,mean_benign,mean_no_tumor,kruskal_h,p_kruskal,anova_f,p_anova,q_kruskal
img_p10,386,438,1400,22.328756476683942,25.750913242009137,28.787500000000005,52.76718277032725,3.4813833555654284e-12,19.851668633149437,2.8489430360307997e-09,6.614628375574314e-11
img_p50,386,438,1400,67.02720207253886,70.17351598173516,74.78928571428571,41.28395969544501,1.0846810593073797e-09,18.610496206202892,9.650333696606989e-09,1.0304470063420108e-08
gb_p50,386,438,1400,66.78497409326425,69.44977168949772,73.52571428571429,36.23874499604125,1.351625910520025e-08,14.509988558397472,5.48536915780191e-07,8.56029743329349e-08
img_mean,386,438,1400,73.93190983747571,75.15133724404251,79.72213503069196,31.297498974633527,1.598948400766356e-07,14.468630271461686,5.713946879125119e-07,7.59500490364019e-07
img_skew,386,438,1400,0.7407959022762756,0.6217847054429072,0.5993950262908043,29.945861859758224,3.1429590258051367e-07,16.2112295556928,1.0243454810574505e-07,1.194324429805952e-06
gb_mean,386,438,1400,74.35245670857027,75.22111339757511,79.1077227005466,26.511863311755405,1.7499354509549913e-06,10.450651120655298,3.0378264880506078e-05,5.541462261357472e-06
gb_p10,386,438,1400,24.46113989637306,24.54931506849315,27.48785714285714,20.89892974367005,2.896376848016521e-05,6.993553501223602,0.0009381281431017402,7.86159430175913e-05
img_std,386,438,1400,44.03922854972829,40.53157779768053,41.40807428009992,17.81570714222289,0.00013532198149719161,12.079046311922784,6.059845936983803e-06,0.00032138970605583006
img_kurtosis,386,438,1400,0.6004876190597404,0.31594483864369216,0.27425541992066377,11.108944200344922,0.0038701109613328267,9.023400600589548,0.0001250323528161261,0.0070104913554809335
gb_rect_area,386,438,1400,79119.82870126769,75566.91261701609,77513.6385280719,11.013782386507181,0.0040587055215942245,6.1266475039975505,0.002220974982372407,0.0070104913554809335
gb_rect_area_ratio_img,386,438,1400,0.7726545771608172,0.7379581310255477,0.7569691262507022,11.013782386507181,0.0040587055215942245,6.126647503997549,0.002220974982372407,0.0070104913554809335
img_p90,386,438,1400,136.07538860103628,131.64383561643837,137.3546428571429,8.912887620985984,0.011603554440831066,5.067880256134757,0.006368754060720997,0.018372294531315853
gb_p90,386,438,1400,136.58808290155443,134.71552511415527,139.18521428571427,8.221385244855433,0.016396414068374946,3.4840416215142045,0.03085095187308116,0.023963989792240306
gb_rect_w,386,438,1400,284.16942473337656,278.34139105454165,284.7428078366672,7.686058660520009,0.021428588650318128,3.3359971376482496,0.03575745859399316,0.029081656025431744
gb_entropy,386,438,1400,7.041067876879602,7.094828104585025,7.11194218964924,4.515784768098456,0.10457064742858882,5.687472200966898,0.0034376835358364407,0.13245615340954583
gb_rect_aspect,386,438,1400,1.066238980416917,1.0942003351077585,1.1021544166331398,3.4726738886133934,0.1761645206232638,1.1633979513076298,0.31261309578484325,0.20919536824012575
img_entropy,386,438,1400,7.04727359510656,7.070875205632005,7.103602984966967,2.954581237468119,0.228255281942551,4.169586384981419,0.01557982975409478,0.2551088445240276
gb_std,386,438,1400,43.67626681886183,42.027028728450716,42.5035422488768,2.727701004670962,0.2556744042663312,2.445985061661925,0.08687410739235787,0.2698785378366829
gb_rect_h,386,438,1400,282.7201476588528,277.4229244501043,277.1722058531064,0.3352293045076955,0.8456796526521335,1.6750313670396424,0.1875388298311302,0.8456796526521335
