feature,n_benign,n_no_tumor,mean_benign,mean_no_tumor,median_benign,median_no_tumor,mw_u,p_value,cliff_delta,q_value
poly_area_mean,438,1399,2233.8293479193712,1501.7064439930944,1645.339770297156,1202.8123309898074,389053.5,1.4190805961342935e-17,0.26983559685489633,2.4124370134282987e-16
poly_mbr_area_mean,438,1399,2882.4459551408268,1947.6079119678395,2091.6180558974884,1547.4430940395687,387668.0,4.838769398830999e-17,0.2653134495938064,4.112953989006349e-16
poly_area_max,438,1399,2275.972857146632,1559.2401044481928,1724.2568820245942,1253.251821019774,385935.5,2.180475544717228e-16,0.2596587255737138,1.2356028086730958e-15
poly_area_total_ratio_gb,438,1400,0.031067804646199345,0.02185732534342516,0.023645669004492477,0.018183787020481536,384995.0,6.118183630047048e-16,0.2556914546640574,2.600228042769995e-15
poly_area_total,438,1400,2336.7592608946265,1668.4766985920144,1803.10354893341,1353.4670440864575,378019.5,1.740276748263024e-13,0.23294031311154598,5.916940944094282e-13
img_mean,438,1400,75.15133724404251,79.72213503069196,76.0071044921875,78.45219726562499,269533.0,0.00013148051509447503,-0.1208969341161122,0.0003725281261010126
gb_mean,438,1400,75.22111339757511,79.1077227005466,75.494346993834,78.60703076520349,272303.0,0.00040328626837435734,-0.11186236138290932,0.0009794095089091536
poly_count,438,1400,1.091324200913242,1.1707142857142858,1.0,1.0,287884.0,0.0006841371380417526,-0.061043705153294193,0.0014537914183387244
gb_rect_area_ratio_img,438,1400,0.7379581310255477,0.7569691262507022,0.7435412892837197,0.7670088962291037,284968.0,0.02565195445355847,-0.07055446836268754,0.04845369174561044
poly_mbr_aspect_mean,438,1399,1.4701015877674475,1.437425264332048,1.411489786009251,1.3749998427010124,326353.0,0.03925565732144463,0.06518680988703608,0.06673461744645587
img_entropy,438,1400,7.070875205632005,7.103602984966967,7.09392893140407,7.112761619428665,293225.0,0.16768727623868818,-0.04362361382909328,0.25915306327797266
img_std,438,1400,40.53157779768053,41.40807428009992,39.531425033278694,39.88032192195684,296202.0,0.2834619083414537,-0.03391389432485323,0.40157103681705936
poly_mbr_fill_mean,438,1399,0.7798410905211982,0.7780872564835064,0.7847808957862519,0.7814365761734223,315052.0,0.37079472863426954,0.02830136333519376,0.48488541436789095
gb_entropy,438,1400,7.094828104585025,7.11194218964924,7.128186708562466,7.136190768436066,299255.0,0.44866859028151096,-0.023956294846705806,0.5448118596275491
img_skew,438,1400,0.6217847054429072,0.5993950262908043,0.5851115169139951,0.5765414860458474,312435.0,0.5472610137897431,0.019031311154598825,0.6202291489617089
gb_std,438,1400,42.027028728450716,42.5035422488768,41.06586058041106,41.064878418451016,302948.0,0.7064130852769241,-0.011911285061969994,0.7505639031067319
img_kurtosis,438,1400,0.31594483864369216,0.27425541992066377,0.019623285876379182,0.030788338522768743,308689.0,0.8294216473909695,0.006813437703848663,0.8294216473909695
