rank_ben_no,feature,family,f_stat,p_anova,p_mal_ben,p_mal_no,p_ben_no,cliff_delta_mal_ben,cliff_delta_mal_no,cliff_delta_ben_no,mean_mal,mean_ben,mean_no,std_mal,std_ben,std_no,q_anova,q_mal_ben,q_mal_no,q_ben_no
24,original_glcm_Idm,glcm,33.49404514250244,2.752291573211585e-14,1.7646064278361637e-06,4.2137977329971614e-14,0.0036734654931017577,-0.36795112781954886,-0.5014297859185408,-0.19398993077407176,0.7851666740749478,0.8260132478143225,0.8430138621128822,0.06971083880174457,0.06200593229560018,0.056490627995417056,1.5596318914865648e-13,7.4995773183036954e-06,2.0467017560271924e-13,0.01561222834568247
25,original_firstorder_Maximum,firstorder,6.828246482420439,0.0011984992362704487,0.4387938174379492,0.0001792879752155256,0.003930176716534525,0.05968045112781955,0.2487054641007806,0.19257394587791063,422.64329855402053,417.41236067854214,377.55039745021986,115.17666152895681,137.32580418156914,118.11894142534189,0.0019101081578060278,0.486488797594248,0.0002857402104997439,0.016035121003460863
26,original_glcm_Id,glcm,33.71790189683975,2.265209825682279e-14,1.932530928795074e-06,5.507599143363927e-14,0.004476484020348626,-0.36654135338345867,-0.4991112141587449,-0.18982064191315293,0.7941903424515724,0.8319517591070807,0.8474851598802121,0.06363393459771109,0.05660860588704834,0.052294095707950156,1.3591258954093675e-13,7.581467489888367e-06,2.5535232391960023e-13,0.0175615911567523
27,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,20.580116497546868,2.8028273016610443e-09,0.002058458210643847,5.559820634434148e-12,0.005697319962877363,0.23731203007518797,0.4573769224824175,0.18462869729389553,0.017982021927293944,0.014907357432886296,0.010871290284022903,0.010643355183016245,0.011731796973459142,0.008436880239448845,8.663284386952319e-09,0.004374223697618175,1.955523119697528e-11,0.021523208748647816
28,original_glrlm_RunEntropy,glrlm,43.44814391812169,5.590817643350976e-18,4.0935169805789067e-08,3.0101462959304704e-17,0.006210908889131487,-0.4224624060150376,-0.5606306515186645,-0.18274071743234738,6.276394924055122,6.665227929478613,6.829710629975381,0.4684705516185326,0.5295423129980882,0.5312971405575282,1.900877998739332e-16,5.96483902884355e-07,3.4114991353878663e-16,0.02262545381040756
29,original_glrlm_RunPercentage,glrlm,33.778077129521016,2.14972665492437e-14,1.8939371966394923e-06,9.797882265664334e-14,0.006483022732207263,0.3668546365914787,0.4940876420125203,0.18179672750157333,0.3884486726228136,0.32202831067940385,0.2957245191169685,0.10928044982997955,0.09750031134769155,0.09226610840690831,1.3591258954093675e-13,7.581467489888367e-06,4.345147787381574e-13,0.022802355816728997
30,original_gldm_DependenceNonUniformity,gldm,11.044092371551942,2.0778351075722764e-05,0.20747364755960662,9.626182911072064e-06,0.007390843558837971,-0.09711779448621553,-0.29376304196614883,-0.17888609188168658,13098.71733601147,14311.712051902474,16088.9910489014,4361.582975395114,5969.97432399693,6191.759000130936,4.238783619447444e-05,0.24896837707152797,1.7533404588024114e-05,0.024318259451660423
31,original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,1.6643732796263442,0.1904724705231171,0.22175225108987706,0.07377964647340739,0.007287481106784103,-0.09414160401002507,0.11871087410155344,0.17920075519194462,51.13530240285164,56.482955291056946,50.865367311476355,19.81325809007951,26.404376465281487,31.56128879797933,0.21349661531162578,0.2630084838507844,0.09066896313599462,0.024318259451660423
32,original_glszm_ZoneEntropy,glszm,5.126746855030931,0.006287376733933547,0.8347883256302938,0.00896053735680949,0.007735914996757185,0.01613408521303258,-0.17350645335806478,-0.177863436123348,7.894556696741857,7.887714917402581,7.985939014874649,0.29745269743114994,0.3376478014552374,0.3106272069521883,0.008907117039739192,0.8430535565771284,0.013056783005636684,0.024658229052163527
33,original_gldm_LargeDependenceHighGrayLevelEmphasis,gldm,24.73407752859259,6.435165768030882e-11,3.935030398825468e-05,4.2713350200186438e-16,0.008617712808446832,-0.31657268170426067,-0.5396862199551743,-0.17542479546884834,2361.8011090210125,3223.1441568687615,3784.5036197843215,1580.6962427081446,1727.286277765491,1858.363893593595,2.5245650320736537e-10,0.00010562450017899942,2.904507813612678e-15,0.025853138425340497
34,original_gldm_LargeDependenceEmphasis,gldm,32.895012871650586,4.6387844808372675e-14,2.1157510487643905e-06,2.8449534561189333e-13,0.008587920960716106,-0.3651315789473684,-0.4846587835226834,-0.17550346129641284,40.11814179076678,46.32480086492176,48.725045337310604,10.149040465628042,9.074690225335736,8.809803607554825,2.347019611155001e-13,7.992837295332142e-06,1.1160971250928123e-12,0.025853138425340497
35,original_gldm_SmallDependenceHighGrayLevelEmphasis,gldm,20.60513269073785,2.7393208935744137e-09,0.000856134917634848,1.9737767756174734e-08,0.009107109493035892,0.2567355889724311,0.37267176752453823,0.17416614222781623,7.9654937212988495,6.146225739780007,5.327684515146266,4.5356133788210915,3.8092909339202814,2.8153517050477697,8.663284386952319e-09,0.001984676399971693,5.033130777824557e-08,0.026540719093990313
36,original_glrlm_RunLengthNonUniformity,glrlm,40.243848270681305,8.334307628334052e-17,1.1072280276763459e-09,6.1490766454847e-17,0.010947107471660392,0.4691416040100251,0.5550660792951542,0.1699181875393329,10145.210514304537,6377.686325023406,5621.963103202968,5422.909445123865,4295.707678219472,3944.1435829709612,1.2115039472683961e-15,2.2587451764597455e-08,6.272058178394394e-16,0.03101680450303778
37,original_firstorder_Range,firstorder,2.8783641523815593,0.057262540496983906,0.7968708078901399,0.03421656636516077,0.01437441698395575,-0.019893483709273182,0.14058273436896204,0.16346758967904343,586.5109832828349,594.0168919496518,562.3132608416935,119.37984308942465,132.73272447534157,125.06437292084746,0.06791603640339952,0.8256507519758608,0.044744740631364084,0.03962677114495909
38,original_ngtdm_Strength,ngtdm,4.7870484084877525,0.008766345161345673,0.007524886112474591,0.46284444229863797,0.014948295797060427,-0.20582706766917294,-0.04876729268104181,0.16252359974826935,0.23079427629696328,0.3308119473417718,0.26627952828097073,0.142446734282294,0.34515719090934827,0.22956201068853058,0.012248865841880256,0.015049772224949182,0.48670240324186675,0.04012437292895167
39,original_gldm_SmallDependenceLowGrayLevelEmphasis,gldm,19.71180841185387,6.218821932513594e-09,0.0027519213621258346,8.090693817964109e-12,0.016900895875811655,0.23057644110275688,0.453821779117397,0.1595342983008181,0.0031416629510683212,0.0026119356846909672,0.0017966455428390681,0.002018218902833357,0.00234557070558824,0.0016462326139298216,1.7619995475455184e-08,0.005613919578736703,2.750835898107797e-11,0.04309728448331972
40,original_glcm_InverseVariance,glcm,32.95820321133332,4.3899982621364263e-14,1.0478054915062573e-06,2.7961175015364744e-13,0.016525222103913384,0.37593984962406013,0.48481335497333644,0.16008495909376966,0.33232646230076246,0.28311924605238625,0.26569994044573514,0.07614076416041322,0.06909640517685985,0.0701707727596888,2.347019611155001e-13,5.089340958744678e-06,1.1160971250928123e-12,0.04309728448331972
41,original_gldm_DependenceNonUniformityNormalized,gldm,22.22319534476687,6.25162789101066e-10,3.1834254569835064e-06,1.2156057896584603e-12,0.019134215528639517,-0.35870927318295737,-0.4715202102171729,-0.1564663310258024,0.16089564699993708,0.18538616737486363,0.20045058066563978,0.041622887271334404,0.05005149501778218,0.056589973116851704,2.219679920495637e-09,1.0474496664913473e-05,4.428278233755819e-12,0.047602194729786114
42,original_firstorder_Energy,firstorder,4.06736504807041,0.01775587314656381,0.8094615215449616,0.029662567084173697,0.04600705358598529,-0.01864035087719298,-0.14436973490996213,-0.13325991189427314,804019724.1314777,812634834.0893167,846928831.1806806,160936220.91370675,150662834.92231053,134236999.18973517,0.021820470613849504,0.8256507519758608,0.03929327068293139,0.09024460511097113
43,original_glcm_Idmn,glcm,12.497859563326406,5.219562381412041e-06,0.0005649105422760662,5.605018565545921e-10,0.04436290907460096,-0.26550751879699247,-0.41162377308911047,-0.1342825676526117,0.9986202932311168,0.9988500626831509,0.999024795916066,0.0007408769498668434,0.0007641162804644867,0.0006568710443218654,1.1327560912851663e-05,0.0013400203560967154,1.6334625533876686e-09,0.09024460511097113
44,original_shape2D_Elongation,shape2D,4.73099120930697,0.009261037262176645,0.007945143704896029,0.32772440738891717,0.04355787628425737,0.20441729323308272,0.06499729499961357,-0.134793895531781,0.792769358419147,0.7391441806357603,0.7749947152145368,0.11788436851128066,0.14796174639098308,0.13451560232728035,0.012765213523540781,0.015290653922630093,0.37658053659853113,0.09024460511097113
45,original_shape2D_PerimeterSurfaceRatio,shape2D,6.166335023412674,0.0022805224852927124,0.009364473771512423,0.3497635266163234,0.043863414884953655,-0.20010964912280702,-0.06209908029986862,0.13459723096286974,0.014355027909265043,0.01512425006495795,0.014611500655301363,0.001335493354028913,0.0020559516334049924,0.0016356569039908207,0.003446760698200602,0.015707221645765452,0.3849293299171442,0.09024460511097113
46,original_shape2D_Perimeter,shape2D,4.659811268008942,0.009929806080329446,0.008979553461477269,0.3631046536639353,0.04428962268458812,0.2012061403508772,0.06039879434268491,-0.13432190056639395,1142.9336902826408,1109.1141414104607,1132.1500130278298,74.87994700537143,94.47292021029737,85.94054712285495,0.012985131028123122,0.015707221645765452,0.3940071773800149,0.09024460511097113
47,original_shape2D_MeshSurface,shape2D,4.662380805400161,0.009904840350581557,0.009199287766436423,0.3509649772773962,0.04411071650347412,0.20057957393483708,0.06194450884921555,-0.13443989930774072,80712.88596491228,75312.125,78986.22246696035,11957.485563818416,15075.864149672316,13715.04495480794,0.012985131028123122,0.015707221645765452,0.3849293299171442,0.09024460511097113
48,original_shape2D_MaximumDiameter,shape2D,4.18603814591345,0.015802696845785242,0.008823925862787968,0.3717885724402016,0.045364947522188385,0.20167606516290726,0.059316794188113454,-0.13365324103209567,407.67779197683876,398.20943788593223,404.75557137024,22.65168052581914,27.349471266734373,25.623290097318904,0.019899692324322156,0.015707221645765452,0.3991835198831638,0.09024460511097113
49,original_firstorder_TotalEnergy,firstorder,4.06736504807041,0.01775587314656381,0.8094615215449616,0.029662567084173697,0.04600705358598529,-0.01864035087719298,-0.14436973490996213,-0.13325991189427314,804019724.1314777,812634834.0893167,846928831.1806806,160936220.91370675,150662834.92231053,134236999.18973517,0.021820470613849504,0.8256507519758608,0.03929327068293139,0.09024460511097113
50,original_shape2D_Sphericity,shape2D,6.940852646371198,0.0010744481690734271,0.00811399961571672,0.3285849780124438,0.043494658115745204,0.20386904761904762,0.06488136641162377,-0.13483322844556325,0.8779949666390191,0.8710335414105516,0.8755472905600565,0.010422986397283281,0.018598695072795265,0.01349060410964858,0.0017966182499260584,0.015326443718576024,0.37658053659853113,0.09024460511097113
51,original_shape2D_PixelSurface,shape2D,4.662380805400161,0.009904840350581557,0.009199287766436423,0.3509649772773962,0.04411071650347412,0.20057957393483708,0.06194450884921555,-0.13443989930774072,80713.38596491228,75312.625,78986.72246696035,11957.485563818416,15075.864149672316,13715.04495480794,0.012985131028123122,0.015707221645765452,0.3849293299171442,0.09024460511097113
52,original_shape2D_MinorAxisLength,shape2D,4.698348166005349,0.009561925648512958,0.008361552604906917,0.33409065076962075,0.043250970405065155,0.20308583959899748,0.06414715202102171,-0.13499056010069227,292.0862525743703,272.4345963253626,285.68677702123574,43.34488380187413,54.527823926685215,49.585588969544176,0.012985131028123122,0.015506879376372828,0.37863607087223683,0.09024460511097113
53,original_firstorder_Skewness,firstorder,9.711570191059414,7.426844631364571e-05,0.017910657310811217,2.0437598728770482e-05,0.06109698725381039,0.18233082706766918,0.28278846896978127,0.1250786658275645,0.8548104928904608,0.7446207227401295,0.6369814058280175,0.49476555751613344,0.44641934488244117,0.3958308449055167,0.00014568041392292044,0.028105954549272987,3.5332797802281174e-05,0.1175828811299747
54,original_glcm_JointEntropy,glcm,7.897846867456123,0.00042543678102890015,0.014250518817535513,4.672770658168676e-05,0.08593042490822646,0.1887531328320802,0.2702681814668831,0.11469477658904971,5.263001961166965,5.144999618342211,5.078815210288103,0.5089332643658186,0.38049045996969566,0.3490285127294258,0.0007613079239464529,0.023072268561724164,7.943710118886748e-05,0.15651613108284107
55,original_glcm_SumAverage,glcm,6.158562646465776,0.002297840465467068,0.14318844142041912,0.0003270945965876905,0.0848599575365653,-0.11278195488721804,-0.23850374835767835,-0.11508810572687225,15.149590937706535,15.841510804627502,16.695249255430124,4.3876913096010135,3.951166144176557,3.6537340888683865,0.003446760698200602,0.1896781951283474,0.0005055098310900671,0.15651613108284107
56,original_glcm_JointAverage,glcm,6.158562646465789,0.0022978404654670393,0.14318844142041912,0.0003270945965876905,0.0848599575365653,-0.11278195488721804,-0.23850374835767835,-0.11508810572687225,7.574795468853267,7.920755402313751,8.347624627715062,2.1938456548005068,1.9755830720882788,1.8268670444341937,0.003446760698200602,0.1896781951283474,0.0005055098310900671,0.15651613108284107
57,original_glcm_Autocorrelation,glcm,5.335877387436369,0.0051251779398014475,0.08873873142085846,0.0001088475513892023,0.0928130780616273,-0.13110902255639098,-0.256897750985393,-0.11225613593455003,77.57983923530668,83.55054750875709,89.93787893921498,35.60660810754713,32.70507123627415,32.68276316883734,0.007576349997967357,0.1239911041770899,0.00017907177809191346,0.16608656074185935
58,original_gldm_HighGrayLevelEmphasis,gldm,5.202884834607877,0.005836401695822286,0.09144092240813988,0.00013413618946655825,0.09535915069767932,-0.1300125313283208,-0.2534971790710256,-0.11139081183134046,78.0398810053123,83.91717562610587,90.2328618211011,35.63291410911506,32.65278599810599,32.65273697018426,0.008504471042483903,0.12604019034635497,0.00021717287818395143,0.16653345474970388
59,original_firstorder_Kurtosis,firstorder,6.874365349486692,0.0011460418120303145,0.0015831844323555807,2.205607000961262e-07,0.09796085573511992,0.24326441102756893,0.34392147770306825,0.1105254877281309,3.8048016248043064,3.5331945413887653,3.1884094899451236,1.304882168817313,2.0462772710778228,1.2125117700335823,0.0018854236262434206,0.0034358470659631747,4.78663647017125e-07,0.16653345474970388
60,original_glcm_ClusterShade,glcm,3.9746248560032726,0.019449634278950644,0.37553980854233915,0.011078998151932041,0.09748364580964053,0.06829573934837092,0.16863745266249325,0.11068281938325991,419.02488459301026,407.5255424256106,350.8924664793566,250.9538573634115,250.80761084494236,222.0028439710458,0.023617413053011498,0.42093473045405044,0.01591630720418406,0.16653345474970388
61,original_gldm_LowGrayLevelEmphasis,gldm,8.787348392925763,0.00018044314878659895,0.24653608647720793,0.0016113179624834013,0.10408478839195281,0.08928571428571429,0.2093670299095757,0.10855884203901825,0.1102404021024274,0.09990356782159256,0.06969719841141923,0.1033920749339503,0.10419948262397322,0.0773441004814969,0.00034726794672137914,0.2857577365985819,0.002416976943725102,0.1740434166553965
62,original_glrlm_LowGrayLevelRunEmphasis,glrlm,11.227888083148022,1.744029919212569e-05,0.19109640638046288,0.0007316920304027963,0.10893934119128243,0.10072055137844611,0.22420588917226988,0.10706419131529264,0.049944609085261646,0.043839713983090736,0.034768019809721794,0.03515412201438241,0.032372924331754656,0.022898034790690948,3.630429627748613e-05,0.23484136687719534,0.0011139192104639587,0.17922278712114206
63,original_gldm_LargeDependenceLowGrayLevelEmphasis,gldm,6.844751203331509,0.0011794545848126932,0.753238034197708,0.04576283370428038,0.11890543908981711,0.024279448621553883,0.13262230466032923,0.10415355569540592,6.9836677547347605,6.437094343166014,4.452931721871374,7.4563591772677045,7.37454767812904,5.607448996600472,0.001909593137315789,0.8003154113350647,0.05762727207205678,0.19251356805018008
64,original_glszm_GrayLevelNonUniformityNormalized,glszm,1.7084692219431117,0.18231569627720057,0.0864741200465733,0.9077631227866205,0.12691177830078007,0.13204887218045114,0.007728572532653219,-0.10195091252359975,0.06521065301927209,0.06286680503173268,0.06434818397706749,0.008859847252480398,0.009920621408280489,0.009897432040992537,0.2066244557808273,0.12250500339931218,0.9214124249359835,0.20226564666686825
65,original_firstorder_Minimum,firstorder,7.658907159240953,0.000535966591335788,0.014658345550162103,1.6316153127904224e-05,0.13781481711668211,0.18796992481203006,0.28611175515882215,0.09911894273127753,-163.86768472881434,-176.6045312711096,-184.7628633914736,51.55973806532469,45.79855111605371,43.96694174058408,0.0009425619364870755,0.023361738220570853,2.8693924466314327e-05,0.21626325147540884
66,original_glszm_GrayLevelVariance,glszm,1.857634142018098,0.15723596571066276,0.17569097058020755,0.8957768721160312,0.14320818332218085,-0.10432330827067669,0.008733286961898137,0.09778162366268094,20.161979543524073,22.467764097731482,21.347417535185375,6.213245823456321,9.34637953376853,9.894017464938011,0.1822507784373591,0.22124048147137249,0.9214124249359835,0.22132173786155224
67,original_glrlm_HighGrayLevelRunEmphasis,glrlm,8.214098562321203,0.00031349906972466714,0.02248937274812018,4.9092536009955085e-06,0.14744067500189925,-0.17575187969924813,-0.3032691861813123,-0.09675896790434235,97.82293135310071,107.35845115782057,113.36236556624836,32.22639345828249,33.73281921728275,33.68895273630211,0.0005921649094799268,0.03475630333800392,9.447997496255508e-06,0.22446192313721974
68,original_glcm_Idn,glcm,20.684141907713876,2.548082130560114e-09,2.3861454043313257e-06,8.704010735194078e-12,0.16141643439826048,-0.3632518796992481,-0.4531262075894582,-0.09353366897419761,0.981228055583634,0.9846230512426625,0.9858914080114585,0.006522121459056591,0.00685625183562033,0.0059050582119246995,8.384012171520376e-09,8.692386830064114e-06,2.8639003064186967e-11,0.24212465159739072
69,original_glrlm_GrayLevelVariance,glrlm,4.259903080077505,0.014697486451276116,0.014170165345865827,0.08346593923342609,0.1996670107682681,-0.18890977443609022,-0.11492387356055336,0.085667086217747,16.844416221805442,18.005807825722915,17.5384476565061,3.185460582463396,3.114499279498006,2.866844293947261,0.018739295225377046,0.023072268561724164,0.10135149764058882,0.2951599289617876
70,original_glrlm_LongRunEmphasis,glrlm,4.558755202422277,0.010963464877948016,0.00013329546645464318,1.5913191221048755e-07,0.20720339566206258,-0.2941729323308271,-0.34794033542004793,-0.0842511013215859,33.64351710515259,42.408910202980486,46.55349646062032,37.23525275176983,35.15638619552002,38.00613442325043,0.014155359715831616,0.0003486189122659899,3.6069900101043843e-07,0.30192494796471975
71,original_gldm_GrayLevelNonUniformity,gldm,9.929824501538741,6.025344279504173e-05,3.47686872813285e-05,8.313416408661477e-05,0.23288678779321237,0.31876566416040103,0.2612257516036788,-0.07968848332284456,7559.059855171232,6489.752273338466,6587.599104503455,2449.704149529378,2137.76767616075,1839.4173717985989,0.00012050688559008347,9.851128063043075e-05,0.0001390112251940116,0.33456975147757273
72,original_firstorder_Median,firstorder,1.7190763290222284,0.18040653885648456,0.9780853028910531,0.23747917843055544,0.2538226872141681,-0.0021929824561403508,-0.07844501120643017,-0.0762271869100063,-17.896779209412593,-18.471916595286945,-15.20836381909934,17.045212566120917,18.415528954139663,16.57888410647925,0.2066244557808273,0.9780853028910531,0.2784238643668581,0.3595821402200715
