bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,68,0.04675957188010216,0.47058823529411764,0.4238286634140155
1,0.10000000149011612,0.20000000298023224,7,0.15511587262153625,1.0,0.8448841273784637
3,0.30000001192092896,0.4000000059604645,1,0.33363956212997437,0.0,0.33363956212997437
4,0.4000000059604645,0.5,1,0.4429759979248047,1.0,0.5570240020751953
5,0.5,0.6000000238418579,2,0.5082600116729736,1.0,0.49173998832702637
6,0.6000000238418579,0.699999988079071,3,0.6383166909217834,0.3333333333333333,0.30498335758845013
7,0.699999988079071,0.800000011920929,2,0.7401614189147949,0.5,0.24016141891479492
8,0.800000011920929,0.8999999761581421,10,0.8591157793998718,0.3,0.5591157793998718
9,0.8999999761581421,1.0,429,0.942957878112793,0.8088578088578089,0.13410006925498408
