bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
1,0.10000000149011612,0.20000000298023224,68,0.15296711027622223,0.47058823529411764,0.3176211250178954
2,0.20000000298023224,0.30000001192092896,5,0.26383957266807556,1.0,0.7361604273319244
3,0.30000001192092896,0.4000000059604645,2,0.303938090801239,1.0,0.696061909198761
4,0.4000000059604645,0.5,2,0.43548357486724854,0.5,0.06451642513275146
5,0.5,0.6000000238418579,4,0.5345454216003418,0.5,0.0345454216003418
6,0.6000000238418579,0.699999988079071,3,0.6333043575286865,0.6666666666666666,0.033362309137980106
7,0.699999988079071,0.800000011920929,13,0.7490705847740173,0.46153846153846156,0.28753212323555577
8,0.800000011920929,0.8999999761581421,426,0.8306801915168762,0.8075117370892019,0.023168454427674345
