label,group,ratio_str,found,best_epoch,binary_auc,t_low,t_high,high_n,high_p,low_n,low_p,med_n,medium_share,mal_to_low,high_recall
S1_1_1_1,Sampler,1:1:1,True,2.0,0.9997648165569144,0.15000000000000002,0.5,169,0.6153846153846154,664,0.9246987951807228,334,0.286203941730934,0,1.0
S2_3_3_2,Sampler,3:3:2,True,,0.9999185903466241,0.21000000000000002,0.5,110,0.9363636363636364,754,0.9111405835543767,303,0.2596401028277635,0,0.9903846153846154
S3_1_2_6,Sampler,1:2:6,True,8.0,0.9993668138070773,0.05,0.5,138,0.7463768115942029,803,0.9178082191780822,226,0.19365895458440446,0,0.9903846153846154
S4_natural,Sampler,1:1.9:6.65,True,10.0,0.9993668138070773,0.07,0.5,161,0.6459627329192547,699,0.9298998569384835,307,0.26306769494430166,0,1.0
D1_1_1_1,Dataset,1:1:1,True,10.0,0.9994934510456618,0.31000000000000005,0.5,127,0.8110236220472441,889,0.8976377952755905,151,0.1293916023993145,0,0.9903846153846154
D2_1_1_2,Dataset,1:1:2,True,18.0,0.9996743613864968,0.05,0.5,131,0.7938931297709924,732,0.9166666666666666,304,0.26049700085689803,0,1.0
D3_1_1.9_3,Dataset,1:1.9:3,True,10.0,0.9994663144945365,0.15000000000000002,0.5,199,0.5226130653266332,617,0.9270664505672609,351,0.30077120822622105,0,1.0
