bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,146,0.05811687186360359,0.547945205479452,0.48982833361584843
1,0.10000000149011612,0.20000000298023224,71,0.1430133581161499,0.7887323943661971,0.6457190362500472
2,0.20000000298023224,0.30000001192092896,36,0.24500396847724915,0.8055555555555556,0.5605515870783064
3,0.30000001192092896,0.4000000059604645,22,0.34004417061805725,0.8181818181818182,0.478137647563761
4,0.4000000059604645,0.5,28,0.45519012212753296,0.6785714285714286,0.22338130644389564
5,0.5,0.6000000238418579,27,0.5552931427955627,0.7037037037037037,0.14841056090814098
6,0.6000000238418579,0.699999988079071,27,0.6469890475273132,0.8888888888888888,0.2418998413615756
7,0.699999988079071,0.800000011920929,31,0.7460776567459106,0.8064516129032258,0.06037395615731511
8,0.800000011920929,0.8999999761581421,49,0.8585516214370728,0.8775510204081632,0.018999398971090486
9,0.8999999761581421,1.0,86,0.9400675296783447,0.9418604651162791,0.001792935437934351
