bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,34,0.05711224675178528,0.29411764705882354,0.23700540030703826
1,0.10000000149011612,0.20000000298023224,11,0.1427748054265976,0.7272727272727273,0.5844979218461297
2,0.20000000298023224,0.30000001192092896,6,0.26475390791893005,0.5,0.23524609208106995
3,0.30000001192092896,0.4000000059604645,5,0.3542434573173523,0.6,0.24575654268264768
4,0.4000000059604645,0.5,4,0.45904552936553955,0.5,0.04095447063446045
5,0.5,0.6000000238418579,7,0.5562857985496521,0.8571428571428571,0.300857058593205
6,0.6000000238418579,0.699999988079071,6,0.6480907201766968,0.6666666666666666,0.018575946489969852
7,0.699999988079071,0.800000011920929,7,0.758344292640686,0.8571428571428571,0.09879856450217106
8,0.800000011920929,0.8999999761581421,27,0.8565151691436768,0.8518518518518519,0.004663317291824898
9,0.8999999761581421,1.0,416,0.9471689462661743,0.7908653846153846,0.15630356165078974
