bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
0,0.0,0.10000000149011612,33,0.058029189705848694,0.30303030303030304,0.24500111332445434
1,0.10000000149011612,0.20000000298023224,12,0.1357838660478592,0.6666666666666666,0.5308828006188074
2,0.20000000298023224,0.30000001192092896,9,0.25286146998405457,0.5555555555555556,0.302694085571501
3,0.30000001192092896,0.4000000059604645,6,0.34270668029785156,0.6666666666666666,0.32395998636881507
4,0.4000000059604645,0.5,9,0.4463423192501068,0.7777777777777778,0.331435458527671
5,0.5,0.6000000238418579,6,0.5565276145935059,0.6666666666666666,0.11013905207316077
6,0.6000000238418579,0.699999988079071,11,0.6553701162338257,0.7272727272727273,0.07190261103890161
7,0.699999988079071,0.800000011920929,13,0.7422879934310913,0.6923076923076923,0.04998030112339902
8,0.800000011920929,0.8999999761581421,40,0.8557029962539673,0.85,0.005702996253967307
9,0.8999999761581421,1.0,384,0.9452953338623047,0.7942708333333334,0.15102450052897132
