bin_idx,bin_lower,bin_upper,count,confidence,accuracy,abs_gap
1,0.10000000149011612,0.20000000298023224,34,0.1286371946334839,0.29411764705882354,0.16548045242533965
2,0.20000000298023224,0.30000001192092896,13,0.238967165350914,0.6923076923076923,0.4533405269567783
3,0.30000001192092896,0.4000000059604645,8,0.3709091544151306,0.625,0.2540908455848694
4,0.4000000059604645,0.5,5,0.463489830493927,0.4,0.06348983049392698
5,0.5,0.6000000238418579,10,0.5512306690216064,0.8,0.2487693309783936
6,0.6000000238418579,0.699999988079071,7,0.6487780213356018,0.7142857142857143,0.0655076929501125
7,0.699999988079071,0.800000011920929,23,0.7535902261734009,0.9130434782608695,0.15945325208746863
8,0.800000011920929,0.8999999761581421,398,0.8737887144088745,0.7914572864321608,0.08233142797671367
9,0.8999999761581421,1.0,25,0.906807541847229,0.76,0.146807541847229
